Forecasted Date,Forecasted Prices
2023-10-20,709.8167976514
2023-10-21,710.8026722130132
2023-10-22,711.5138176535092
2023-10-23,712.0410930925774
2023-10-24,712.7439015541712
2023-10-25,713.6807021139408
2023-10-26,713.921637790645
2023-10-27,714.6007963327744
2023-10-28,715.4574852721136
2023-10-29,715.9782668589397
2023-10-30,716.2552160566049
2023-10-31,716.6503070627062
2023-11-01,717.2258833678603
2023-11-02,717.0572118158404
2023-11-03,717.2846398691355
2023-11-04,717.6547402459123
2023-11-05,717.6621919939868
2023-11-06,717.4078651858765
2023-11-07,717.2630191493596
2023-11-08,717.2995740080388
2023-11-09,716.6024609446556
2023-11-10,716.3215753920459
2023-11-11,716.2127222382074
2023-11-12,715.77930682331
2023-11-13,715.1302432974438
2023-11-14,714.6439942025801
2023-11-15,714.3987044725371
2023-11-16,713.4844380757663
2023-11-17,713.0550436513305
2023-11-18,712.8690396635743
2023-11-19,712.431273566326
2023-11-20,711.85082653293
2023-11-21,711.5050768980402
2023-11-22,711.4698841214745
2023-11-23,710.8318995057947
2023-11-24,710.7405274866917
2023-11-25,710.9489250363073
2023-11-26,710.9557903253205
2023-11-27,710.8634085966298
2023-11-28,711.0418646399539
2023-11-29,711.559379874241
2023-11-30,711.4947765232121
2023-12-01,711.9895891127117
2023-12-02,712.7892074866942
2023-12-03,713.3847994720455
2023-12-04,713.8714785257459
2023-12-05,714.6126235851251
2023-12-06,715.6703074497783
2023-12-07,716.1178350160767
2023-12-08,717.0919109501364
2023-12-09,718.333820867
2023-12-10,719.3313745079632
2023-12-11,720.1770770655384
2023-12-12,721.2324370984461
2023-12-13,722.5583689336164
2023-12-14,723.2276927244338
2023-12-15,724.3772538068675
2023-12-16,725.7490476087648
2023-12-17,726.832100847297
2023-12-18,727.720577388079
2023-12-19,728.7780193431968
2023-12-20,730.06768328665
2023-12-21,730.6649765287806
2023-12-22,731.7095166086474
2023-12-23,732.9462014863942
2023-12-24,733.867042083711
2023-12-25,734.5692261339622
2023-12-26,735.4193241830751
2023-12-27,736.4835975719408
2023-12-28,736.8404130060333
2023-12-29,737.632286280282
2023-12-30,738.6069418368767
2023-12-31,739.2591388341407
2024-01-01,739.6887316052212
2024-01-02,740.2648742070995
2024-01-03,741.0563277481087
2024-01-04,741.1438740092286
2024-01-05,741.6723569394602
2024-01-06,742.3917378631361
2024-01-07,742.7989144234576
2024-01-08,742.9957707032154
2024-01-09,743.3533680215124
2024-01-10,743.9422351398096
2024-01-11,743.8447616842385
2024-01-12,744.2072168923214
2024-01-13,744.7807802656217
2024-01-14,745.0633350826728
2024-01-15,745.157493291814
2024-01-16,745.4347624661377
2024-01-17,745.9658147924229
2024-01-18,745.8328631425481
2024-01-19,746.1816675261668
2024-01-20,746.7625595931379
2024-01-21,747.0722370729865
2024-01-22,747.2117974043747
2024-01-23,747.5509217313023
2024-01-24,748.1581694623378
2024-01-25,748.1133883734465
2024-01-26,748.5597631812666
2024-01-27,749.2448895779431
2024-01-28,749.6626246421993
2024-01-29,749.9111816325371
2024-01-30,750.3573788491932
2024-01-31,751.0670010689088
2024-02-01,751.1172766881933
2024-02-02,751.648991560398
2024-02-03,752.4076245411413
2024-02-04,752.8852537093885
2024-02-05,753.1786994175487
2024-02-06,753.6538121637751
2024-02-07,754.3758623172027
2024-02-08,754.4220336341727
2024-02-09,754.9335406767835
2024-02-10,755.65675463712
2024-02-11,756.0850864140782
2024-02-12,756.3170933831337
2024-02-13,756.7207185501858
2024-02-14,757.3636202198634
2024-02-15,757.3255955951636
2024-02-16,757.7506202428564
2024-02-17,758.3878900482819
2024-02-18,758.7336168666019
2024-02-19,758.8890468443709
2024-02-20,759.2246127358524
2024-02-21,759.8101809991732
2024-02-22,759.727399684185
2024-02-23,760.1216715007433
2024-02-24,760.7431409258552
2024-02-25,761.0884484985457
2024-02-26,761.258722858607
2024-02-27,761.6237230197577
2024-02-28,762.2520923668673
2024-02-29,762.2237305999632
2024-03-01,762.6818077131015
2024-03-02,763.3738080517184
2024-03-03,763.7933562814077
2024-03-04,764.0382940354752
2024-03-05,764.4749175136512
2024-03-06,765.1683349310255
2024-03-07,765.194947146657
2024-03-08,765.6945724437472
2024-03-09,766.4116002544329
2024-03-10,766.8369223708884
2024-03-11,767.0661071754987
2024-03-12,767.4637240814524
2024-03-13,768.0937742498824
2024-03-14,768.0322284169027
2024-03-15,768.4191907234732
2024-03-16,769.000071748868
2024-03-17,769.2675182400012
2024-03-18,769.3195646040425
2024-03-19,769.5239134990896
2024-03-20,769.9483023484252
2024-03-21,769.6729579760712
2024-03-22,769.8426601973935
2024-03-23,770.2078000362787
2024-03-24,770.266182999777
2024-03-25,770.1210458067011
2024-03-26,770.1451975350525
2024-03-27,770.4112458447819
2024-03-28,770.0039143985656
2024-03-29,770.0719762214668
2024-03-30,770.369192447927
2024-03-31,770.3960104229484
2024-04-01,770.2574927442536
2024-04-02,770.3273909581413
2024-04-03,770.6783267862642
2024-04-04,770.394088628469
2024-04-05,770.6215690524864
2024-04-06,771.1117329996473
2024-04-07,771.3613702483287
2024-04-08,771.4711025936698
2024-04-09,771.8095576485804
2024-04-10,772.4436696991124
2024-04-11,772.4511123407407
2024-04-12,772.9723850923666
2024-04-13,773.7519398020481
2024-04-14,774.2800961763666
2024-04-15,774.6512125038447
2024-04-16,775.2280190332299
2024-04-17,776.072070064763
2024-04-18,776.256315299629
2024-04-19,776.91730877658
2024-04-20,777.7964377675469
2024-04-21,778.3819180483836
2024-04-22,778.7670193123787
2024-04-23,779.3144265673593
2024-04-24,780.0866926879166
2024-04-25,780.1587825449058
2024-04-26,780.6702276901411
2024-04-27,781.3662753753649
2024-04-28,781.7397804516793
2024-04-29,781.8893067135799
2024-04-30,782.1833469152016
2024-05-01,782.6906205142277
2024-05-02,782.4924538381722
2024-05-03,782.7347661921704
2024-05-04,783.1690503687328
2024-05-05,783.2941007937443
2024-05-06,783.2139604335883
2024-05-07,783.3019999929976
2024-05-08,783.6310923778539
2024-05-09,783.2858905391114
2024-05-10,783.4147350408667
2024-05-11,783.7705819558455
2024-05-12,783.8527057202934
2024-05-13,783.7646486827556
2024-05-14,783.878330677972
2024-05-15,784.2642805968493
2024-05-16,784.0039962874387
2024-05-17,784.2419566202835
2024-05-18,784.7266731544572
2024-05-19,784.9525323027211
2024-05-20,785.017895537982
2024-05-21,785.289366442876
2024-05-22,785.8321818393522
2024-05-23,785.7227285334722
2024-05-24,786.1007047851456
2024-05-25,786.7103094320086
2024-05-26,787.0422054100833
2024-05-27,787.1917215341492
2024-05-28,787.5231982491423
2024-05-29,788.100432182962
2024-05-30,787.9992193893075
2024-05-31,788.359515557555
2024-06-01,788.9265961302497
2024-06-02,789.1929639318804
2024-06-03,789.256469863005
2024-06-04,789.4845548479815
2024-06-05,789.9445710616114
2024-06-06,789.7161861464748
2024-06-07,789.9433930403108
2024-06-08,790.3755130900859
2024-06-09,790.5089450479983
2024-06-10,790.4451306034017
2024-06-11,790.5546496953285
2024-06-12,790.9074084917361
2024-06-13,790.5849282645922
2024-06-14,790.7322618144262
2024-06-15,791.0989285455008
2024-06-16,791.1806234912535
2024-06-17,791.0771728377235
2024-06-18,791.1566502049463
2024-06-19,791.4856166663419
2024-06-20,791.1414918909461
2024-06-21,791.2645812904636
2024-06-22,791.5991476105715
2024-06-23,791.6352787784494
2024-06-24,791.4670203291569
2024-06-25,791.4566818194779
2024-06-26,791.6652748622034
2024-06-27,791.1650844696387
2024-06-28,791.0918927016737
2024-06-29,791.1862371468625
2024-06-30,790.9354502821465
2024-07-01,790.4319425792884
2024-07-02,790.0376337844713
2024-07-03,789.8144856434885
2024-07-04,788.8371341561032
2024-07-05,788.2451376192287
2024-07-06,787.7842212124277
2024-07-07,786.9482634225142
2024-07-08,785.8374874904304
2024-07-09,784.8227636940092
2024-07-10,783.975978177224
2024-07-11,782.3824698478724
2024-07-12,781.1930559628934
2024-07-13,780.165032330239
2024-07-14,778.8038992863242
2024-07-15,777.2212830319872
2024-07-16,775.7989649119386
2024-07-17,774.6189813138742
2024-07-18,772.7758026839654
2024-07-19,771.4281190750049
2024-07-20,770.3396245916039
2024-07-21,769.0205577895065
2024-07-22,767.5854728094205
2024-07-23,766.4171581821018
2024-07-24,765.5966693626846
2024-07-25,764.2154858043756
2024-07-26,763.4273211616456
2024-07-27,762.9889789809974
2024-07-28,762.4020097403203
2024-07-29,761.7706416535194
2024-07-30,761.4658986995555
2024-07-31,761.555867425682
2024-08-01,761.1181179075965
2024-08-02,761.291801246508
2024-08-03,761.818809125907
2024-08-04,762.1857440035552
2024-08-05,762.4821648072316
2024-08-06,763.0650139774581
2024-08-07,763.9891799206374
2024-08-08,764.3201930928036
2024-08-09,765.1865714413964
2024-08-10,766.321194757862
2024-08-11,767.2034513842299
2024-08-12,767.9176179802117
2024-08-13,768.8173751095576
2024-08-14,769.9564107807912
2024-08-15,770.4011094383902
2024-08-16,771.2828426277986
2024-08-17,772.3392425872283
2024-08-18,773.0562050652634
2024-08-19,773.526086004266
2024-08-20,774.1119997520954
2024-08-21,774.878176679415
2024-08-22,774.9023841248752
2024-08-23,775.3279338304458
2024-08-24,775.9046643867986
2024-08-25,776.1306523903547
2024-08-26,776.110124295267
2024-08-27,776.2174837142301
2024-08-28,776.527418700228
2024-08-29,776.1270989777706
2024-08-30,776.167991569029
2024-08-31,776.4066877212787
2024-09-01,776.3464982190222
2024-09-02,776.0952913602123
2024-09-03,776.0294895101107
2024-09-04,776.2241887680494
2024-09-05,775.7654105735415
2024-09-06,775.8020114518844
2024-09-07,776.0866405287667
2024-09-08,776.1174976876417
2024-09-09,775.9963616300555
2024-09-10,776.0927980682143
2024-09-11,776.4745063963438
2024-09-12,776.2198071479713
2024-09-13,776.4697897698449
2024-09-14,776.9695037061024
2024-09-15,777.2099392446784
2024-09-16,777.2862613520157
2024-09-17,777.5622012398993
2024-09-18,778.1005592189913
2024-09-19,777.9758171718718
2024-09-20,778.3263771205496
2024-09-21,778.8958068192637
2024-09-22,779.1748378015088
2024-09-23,779.2595791413867
2024-09-24,779.515852752536
2024-09-25,780.0096058635822
2024-09-26,779.8194020243327
2024-09-27,780.0885109830571
2024-09-28,780.5659829595485
2024-09-29,780.7484579305678
2024-09-30,780.7381788194637
2024-10-01,780.9071203283464
2024-10-02,781.3271950830823
2024-10-03,781.0825444242699
2024-10-04,781.3214399452335
2024-10-05,781.7971866860647
2024-10-06,782.009783461842
2024-10-07,782.0638134252221
2024-10-08,782.3324800454493
2024-10-09,782.8877527641934
2024-10-10,782.8126313330894
2024-10-11,783.2530556485905
2024-10-12,783.9588517386079
2024-10-13,784.425468170353
2024-10-14,784.7519738574402
2024-10-15,785.3052294789189
2024-10-16,786.150193042045
2024-10-17,786.3623642145702
2024-10-18,787.0798893376585
2024-10-19,788.0447124823817
2024-10-20,788.7445212881381
2024-10-21,789.270952943052
2024-10-22,789.9839669671563
2024-10-23,790.9423399944212
2024-10-24,791.2162822015802
2024-10-25,791.9396928060061
2024-10-26,792.8514361112072
2024-10-27,793.4373836565514
2024-10-28,793.788685429591
2024-10-29,794.2661752356573
2024-10-30,794.9308647219316
2024-10-31,794.856525880589
2024-11-01,795.1818804891706
2024-11-02,795.6517798231453
2024-11-03,795.7591228134329
2024-11-04,795.6029789028913
2024-11-05,795.5528245741953
2024-11-06,795.6788523946421
2024-11-07,795.064357098985
2024-11-08,794.8577220835439
2024-11-09,794.8133946469627
2024-11-10,794.4336031031164
2024-11-11,793.8262867961068
2024-11-12,793.3691524669592
2024-11-13,793.1398198849361
2024-11-14,792.2280648242745
2024-11-15,791.7876857297263
2024-11-16,791.5773847229462
2024-11-17,791.1024176935312
2024-11-18,790.4724853998222
2024-11-19,790.0657791968828
2024-11-20,789.9591437602727
2024-11-21,789.2403636648199
2024-11-22,789.0600983148628
2024-11-23,789.1728534738364
2024-11-24,789.0787412566258
2024-11-25,788.881497245466
2024-11-26,788.9526647981194
2024-11-27,789.3619051887517
2024-11-28,789.1894366389821
2024-11-29,789.5781229655669
2024-11-30,790.2745964542503
2024-12-01,790.7711634101424
